class,pairs,feature1,feature2,feature3,feature4,feature5,feature6,feature7,feature8,feature9,feature10,feature11,feature12,feature13,feature14,feature15,feature16,feature17
1,qid:1501,0,0,0,0,1,2,0,0,0,0,3,9,1,3,0,1.3,2
0,qid:1501,0,0,0,0,3,1,0,0,0,0,7,13,1,4,1,1,1
0,qid:1502,0,0,0,0,0,2,0,0,1,0,3,11,5,4,0,2,3
1,qid:1502,0,0,0,0,0,2,0,0,0,0,4,8,2,3,0,1.7,2
1,qid:1503,0,0,0,2,0,2,0,0,0,1,1,6,0,3,1,1.3,2
0,qid:1503,0,0,0,1,1,3,0,0,0,2,4,12,1,7,1,2.7,4
0,qid:1504,0,0,0,0,2,2,0,0,0,0,3,9,1,4,0,1.8,3
1,qid:1504,0,0,0,1,0,3,0,1,0,1,3,11,2,4,2,2.5,4
0,qid:1505,0,0,0,1,0,4,0,0,0,0,7,13,1,4,1,2.3,3
1,qid:1505,0,0,0,0,0,5,0,1,0,0,4,11,1,4,1,2,2
0,qid:1506,1,0,0,0,0,1,0,0,1,0,2,7,2,2,1,1,1
1,qid:1506,0,0,0,0,0,0,0,0,0,0,2,5,3,1,1,1,1
1,qid:1507,0,0,0,0,1,2,0,0,0,0,4,8,1,2,1,1.5,2
0,qid:1507,2,0,0,0,1,1,0,0,1,0,6,16,3,6,1,1.7,2
1,qid:1508,0,0,1,1,1,1,0,0,0,0,7,14,3,5,2,1.8,3
0,qid:1508,1,1,0,2,0,3,0,1,1,1,4,19,2,7,2,2.1,2
1,qid:1509,0,0,0,0,1,4,0,0,0,0,6,13,2,6,1,2.5,3
0,qid:1509,0,0,1,0,1,2,0,0,0,0,4,9,1,3,1,1.3,2
1,qid:1510,0,0,0,0,0,2,0,0,0,0,5,10,2,4,0,1.8,2
0,qid:1510,0,0,1,1,1,3,0,0,0,1,6,15,1,7,3,2.9,4
1,qid:1511,0,0,0,1,0,1,0,0,1,0,2,7,2,3,1,1.7,2
0,qid:1511,1,0,0,0,2,1,0,0,0,0,3,9,2,2,2,1.5,2
1,qid:1512,0,0,0,1,0,4,0,0,0,0,5,11,1,4,1,1.8,3
0,qid:1512,0,0,2,1,0,1,0,0,0,0,6,16,5,4,1,2,3
0,qid:1513,0,0,0,0,0,1,0,0,0,0,4,8,2,3,1,1.7,2
1,qid:1513,0,0,0,0,0,1,0,0,0,1,3,6,1,1,1,1,1
0,qid:1514,0,0,0,1,0,4,0,0,0,2,4,13,2,6,2,1.7,3
1,qid:1514,0,0,1,0,1,0,0,0,0,1,4,9,2,6,1,2,2
0,qid:1515,1,0,0,0,0,2,0,0,1,0,4,10,2,5,1,1.4,2
1,qid:1515,0,0,0,0,0,4,0,0,0,1,4,11,2,5,2,2,3
1,qid:1516,0,0,0,0,2,5,0,0,0,2,5,15,1,4,2,1.3,2
0,qid:1516,1,0,1,2,1,4,0,0,0,3,7,19,0,7,4,1.6,3
1,qid:1517,0,0,0,0,0,2,0,0,0,0,4,7,1,2,1,1.5,2
0,qid:1517,2,0,0,0,0,4,0,1,0,0,6,13,0,6,2,2.2,3
1,qid:1518,1,0,0,1,0,3,0,0,0,0,4,11,1,3,1,1.7,2
0,qid:1518,0,0,0,0,0,6,0,0,1,1,3,14,0,8,2,2.1,3
1,qid:1519,0,0,0,0,0,6,0,0,0,1,5,14,1,4,2,2,3
0,qid:1519,0,0,1,0,0,1,0,0,1,0,3,9,3,4,1,1.5,2
1,qid:1520,0,0,0,2,0,4,0,0,0,1,3,10,0,6,1,2.7,3
0,qid:1520,1,0,0,1,2,3,0,1,0,2,4,15,1,9,2,2.3,4
1,qid:1521,0,0,0,0,0,1,0,0,0,0,3,7,2,3,1,2,3
0,qid:1521,0,0,0,0,0,4,0,0,0,1,5,11,1,4,1,2.3,3
1,qid:1522,0,0,1,0,0,2,0,0,0,0,4,9,2,4,1,2,2
0,qid:1522,1,0,0,1,0,3,0,0,0,1,3,10,0,7,1,2.3,2
1,qid:1523,0,0,0,0,0,1,0,0,0,0,4,8,3,3,0,1.7,2
0,qid:1523,1,0,0,1,0,8,0,0,0,2,6,20,2,9,1,2.2,2
1,qid:1524,0,0,0,0,1,3,0,0,0,1,3,10,2,4,2,2,3
0,qid:1524,1,0,0,0,0,5,0,0,2,1,7,19,3,7,3,1.9,3
1,qid:1525,0,0,0,0,0,0,0,0,0,1,1,4,2,1,1,1,1
0,qid:1525,0,0,0,0,1,4,0,0,0,0,4,13,1,5,1,2.4,3
1,qid:1526,0,0,0,0,0,1,0,0,0,2,2,7,2,3,0,1.3,2
0,qid:1526,0,0,0,0,2,2,0,0,0,0,3,8,1,3,2,1.3,2
1,qid:1527,2,1,1,2,0,2,0,0,0,2,5,16,1,10,4,1.8,2
0,qid:1527,0,0,0,0,0,2,0,0,0,0,3,7,2,3,1,1.7,2
1,qid:1528,0,0,0,0,0,3,0,0,0,1,3,8,1,3,1,1.7,2
0,qid:1528,0,0,0,0,2,3,0,0,0,0,6,14,2,6,3,2,2
1,qid:1529,0,0,0,0,0,2,0,0,0,1,2,6,1,3,1,1.7,2
0,qid:1529,0,0,0,0,0,4,0,0,1,0,2,8,1,4,0,1.8,3
1,qid:1530,0,0,0,1,1,3,0,0,0,1,4,11,1,4,1,2,3
0,qid:1530,0,0,0,1,0,4,0,1,0,1,3,11,1,4,1,1.8,3
0,qid:1531,0,0,0,0,1,4,0,0,0,0,6,12,1,4,2,1.3,2
1,qid:1531,0,0,0,0,2,1,0,0,0,0,2,7,1,3,0,1.3,2
1,qid:1532,0,0,0,0,2,2,0,0,0,1,3,9,1,3,2,1.3,2
0,qid:1532,0,0,1,0,0,1,0,0,0,1,6,11,0,3,2,1.3,2
0,qid:1533,0,1,0,0,2,3,0,0,0,0,7,15,2,7,1,1.9,2
1,qid:1533,0,0,0,0,2,2,0,0,0,0,4,9,1,4,1,2.3,3
1,qid:1534,0,0,0,0,1,3,0,0,0,0,5,10,1,4,2,1.8,2
0,qid:1534,0,0,0,0,0,2,0,0,0,0,4,9,3,4,1,1.5,2
0,qid:1535,1,0,0,0,0,1,0,0,0,1,3,7,1,2,0,1,1
1,qid:1535,0,0,0,2,0,2,0,0,0,1,1,6,0,3,1,1.3,2
1,qid:1536,0,0,0,0,0,3,0,0,0,0,4,8,1,3,0,1.7,2
0,qid:1536,1,0,0,1,0,3,0,0,0,0,2,7,0,1,0,1,1
0,qid:1537,0,0,0,1,0,3,0,0,0,0,4,9,1,4,1,1.5,2
1,qid:1537,0,0,1,0,1,2,0,0,0,1,6,14,3,6,1,2.5,4
0,qid:1538,0,1,0,0,0,2,0,0,0,1,3,9,2,2,1,1,1
1,qid:1538,0,0,0,1,0,2,0,0,0,1,4,9,1,3,2,1.7,2
1,qid:1539,0,0,0,0,1,1,0,0,1,0,1,5,1,2,1,1.5,2
0,qid:1539,0,1,0,0,0,2,0,0,0,1,3,8,1,4,1,2,3
1,qid:1540,0,0,1,0,1,1,0,0,0,0,5,9,1,3,1,1.3,2
0,qid:1540,0,0,0,0,1,3,0,0,0,1,3,10,2,5,2,2.2,4
1,qid:1541,0,0,0,0,0,1,0,0,0,0,3,5,1,1,1,1,1
0,qid:1541,0,0,0,0,2,3,0,0,1,0,3,9,0,3,1,2,3
0,qid:1542,0,1,0,0,1,1,0,1,0,0,4,10,2,4,1,1.8,2
1,qid:1542,0,0,1,0,0,1,0,0,0,0,3,8,3,2,1,1.5,2
1,qid:1543,0,0,0,2,0,1,0,0,0,0,4,8,1,1,1,1,1
0,qid:1543,0,0,0,1,1,1,0,0,0,0,4,8,1,3,1,2,3
1,qid:1544,0,0,0,1,0,2,0,0,0,1,2,7,1,2,2,1,1
0,qid:1544,0,1,0,0,0,1,0,0,0,0,7,13,3,5,2,1.8,3
0,qid:1545,0,0,1,1,1,1,0,0,0,0,3,8,1,3,3,1,1
1,qid:1545,0,0,0,1,0,1,0,0,0,0,4,8,2,3,1,1.3,2
1,qid:1546,1,0,0,0,2,3,0,0,0,0,8,16,2,6,1,2,4
0,qid:1546,0,0,0,0,1,3,0,0,0,1,5,13,3,7,2,2,2
0,qid:1547,0,0,0,0,0,4,0,0,0,0,3,9,2,5,2,1.6,2
1,qid:1547,0,0,0,0,0,3,0,0,0,0,4,8,1,3,1,1.3,2
0,qid:1548,1,0,1,0,0,3,0,0,0,1,6,13,1,5,2,2,3
1,qid:1548,0,0,0,0,0,4,0,0,0,1,4,13,4,4,1,1.8,3
1,qid:1549,0,0,0,0,0,1,0,0,0,0,5,8,1,2,1,1.5,2
0,qid:1549,0,0,0,0,0,4,0,0,0,0,4,9,1,4,1,2,3
1,qid:1550,0,0,1,2,0,3,0,0,0,0,5,11,0,5,1,1.6,2
0,qid:1550,0,0,1,0,1,5,0,0,0,1,6,15,1,9,2,1.6,3
1,qid:1551,0,0,1,1,0,1,0,0,0,0,5,10,1,4,1,1.3,2
0,qid:1551,3,0,2,1,0,4,0,0,0,1,6,20,2,10,2,2,4
0,qid:1552,0,0,0,0,0,2,0,0,0,0,3,6,1,3,1,1.3,2
1,qid:1552,0,0,0,0,0,1,0,0,0,0,3,6,2,2,0,1,1
0,qid:1553,1,0,0,0,0,1,0,0,0,1,2,6,1,2,1,1.5,2
1,qid:1553,0,0,0,0,1,1,0,0,0,0,3,6,1,2,0,1.5,2
0,qid:1554,0,1,0,0,0,6,0,1,0,0,4,12,0,5,1,1.2,2
1,qid:1554,0,0,0,0,2,4,0,0,0,0,5,12,1,6,1,2.3,3
0,qid:1555,0,1,0,0,1,5,0,0,0,1,6,14,0,6,3,2.3,4
1,qid:1555,0,0,0,0,1,2,0,0,0,0,5,10,1,4,1,2.3,3
0,qid:1556,0,0,0,0,1,4,0,0,0,1,6,13,1,5,1,1.8,3
1,qid:1556,1,0,0,0,1,2,0,0,0,1,3,9,1,3,1,2,3
1,qid:1557,0,0,0,1,0,1,0,0,0,0,4,9,1,3,0,1.7,2
0,qid:1557,0,0,1,0,2,0,0,2,1,1,3,14,2,6,1,3,4
0,qid:1558,1,1,0,0,0,1,0,0,0,0,6,11,1,4,2,1.3,2
1,qid:1558,0,0,0,2,1,1,0,0,1,0,3,9,1,4,1,1.5,2
1,qid:1559,0,0,1,0,0,3,0,0,1,0,4,10,1,3,1,1.7,2
0,qid:1559,4,0,0,0,1,4,0,0,0,0,4,15,2,7,1,2.6,3
1,qid:1560,0,0,0,0,1,1,0,0,0,1,1,5,1,3,1,1.7,2
0,qid:1560,0,0,0,1,1,4,0,0,1,1,4,13,1,6,3,1,1
0,qid:1561,2,1,0,0,2,4,0,0,1,1,3,14,0,5,2,1.4,2
1,qid:1561,0,2,1,1,5,0,0,0,0,0,6,16,1,7,2,2.6,5
0,qid:1562,0,0,0,2,0,2,0,0,0,0,5,11,2,4,1,1,1
1,qid:1562,0,0,1,0,0,1,0,0,0,0,2,5,1,2,1,1.5,2
0,qid:1563,0,0,0,0,1,3,0,0,0,0,5,10,1,3,1,1.3,2
1,qid:1563,0,0,0,0,1,3,0,0,0,0,3,8,1,4,1,1.8,3
1,qid:1564,0,0,0,0,1,3,0,0,0,0,3,8,1,4,2,1.5,2
0,qid:1564,0,0,2,2,0,2,0,0,0,0,4,10,0,4,1,2.3,3
0,qid:1565,0,0,0,1,1,4,0,0,0,0,7,15,2,7,2,1.9,3
1,qid:1565,0,0,0,0,0,2,0,0,0,0,4,9,3,2,1,1.5,2
1,qid:1566,0,0,0,0,0,3,0,0,0,0,3,7,1,3,1,2,3
0,qid:1566,0,0,0,0,0,2,0,1,0,0,2,7,2,3,0,1.3,2
0,qid:1567,0,1,0,0,0,3,0,0,0,1,4,11,1,4,1,1.5,2
1,qid:1567,0,0,0,1,0,3,0,0,1,0,2,9,2,3,1,2,3
0,qid:1568,0,0,3,0,1,2,0,0,1,0,3,12,2,5,2,1.8,2
1,qid:1568,0,0,0,2,0,3,0,0,0,0,4,12,2,3,0,1.7,2
0,qid:1569,0,0,1,1,0,2,0,0,0,0,4,10,2,4,2,1.3,2
1,qid:1569,0,0,0,0,1,5,0,0,0,0,5,14,3,8,3,2,3
0,qid:1570,0,0,0,1,0,3,0,0,2,0,4,11,1,4,1,1.3,2
1,qid:1570,0,0,0,0,1,3,0,0,0,1,4,12,3,4,2,1.3,2
1,qid:1571,0,0,0,0,0,3,0,0,0,0,4,9,2,4,1,2,3
0,qid:1571,1,0,1,0,1,1,0,0,0,1,5,13,2,5,1,1.6,2
0,qid:1572,0,0,0,0,1,2,0,0,0,1,4,9,1,3,1,2,3
1,qid:1572,0,0,1,1,0,2,0,0,0,0,3,8,1,4,1,1.5,2
1,qid:1573,0,0,0,0,0,3,0,0,0,1,2,7,1,2,2,1,1
0,qid:1573,0,1,1,1,0,4,0,0,0,1,4,13,0,5,2,1.4,2
1,qid:1574,0,0,0,2,0,0,0,0,0,1,2,6,1,4,1,1.8,2
0,qid:1574,0,0,0,0,0,3,0,0,0,1,4,10,1,3,1,2,3
1,qid:1575,0,0,0,0,0,3,0,0,0,0,4,8,1,3,1,2,3
0,qid:1575,0,0,0,1,0,1,1,0,0,0,2,7,2,3,0,1.3,2
1,qid:1576,0,0,0,0,0,4,0,0,0,0,5,12,2,5,1,2.4,4
0,qid:1576,0,0,0,0,3,0,0,0,1,0,3,7,0,1,1,1,1
1,qid:1577,0,0,0,0,0,2,0,0,0,1,3,7,1,2,1,1.5,2
0,qid:1577,0,0,0,0,2,4,0,0,0,1,4,13,2,6,2,1.7,3
0,qid:1578,0,0,0,2,0,0,0,0,0,0,4,8,2,3,1,1.7,2
1,qid:1578,0,0,0,1,1,2,0,0,0,0,4,9,1,2,1,1.5,2
1,qid:1579,0,0,0,0,0,3,0,0,0,1,2,7,1,3,1,2,3
0,qid:1579,0,0,1,0,0,4,0,0,0,1,4,12,2,3,1,2,3
1,qid:1580,0,0,0,1,1,2,0,0,0,1,4,10,1,4,1,1.3,2
0,qid:1580,1,2,0,1,2,5,0,0,1,1,7,20,0,9,2,2.1,3
0,qid:1581,0,0,1,0,0,7,0,0,1,2,5,16,0,7,2,2,3
1,qid:1581,1,0,1,0,1,2,0,0,0,0,6,13,2,4,1,1.8,2
0,qid:1582,0,0,1,1,0,2,0,0,1,0,2,9,2,3,0,1.3,2
1,qid:1582,0,0,0,0,0,4,0,0,0,0,3,9,2,3,1,1.7,2
1,qid:1583,1,0,0,0,0,1,0,0,0,1,2,6,1,2,0,1.5,2
0,qid:1583,0,0,1,1,3,2,0,0,1,0,7,17,2,8,2,1.9,3
0,qid:1584,1,0,0,0,1,4,0,0,0,1,7,16,1,7,2,2.1,3
1,qid:1584,0,0,0,0,1,2,0,0,0,0,4,8,1,3,1,1.7,2
1,qid:1585,1,0,0,1,0,1,0,0,1,1,2,8,1,4,1,1.5,2
0,qid:1585,2,0,0,0,0,1,0,0,0,1,5,12,3,6,1,2.3,4
1,qid:1586,0,0,1,0,0,0,0,0,0,0,2,5,2,2,1,1.5,2
0,qid:1586,0,0,0,0,0,4,0,0,0,0,4,9,1,4,1,1.8,2
1,qid:1587,1,0,0,1,0,4,0,0,0,0,5,12,1,5,2,2.2,2
0,qid:1587,1,0,0,0,2,2,0,0,0,0,6,13,2,5,1,1.8,3
1,qid:1588,0,0,0,0,2,1,0,0,0,1,4,9,1,4,2,1.8,2
0,qid:1588,0,0,0,1,0,3,0,0,0,1,4,11,2,4,2,2,3
0,qid:1589,0,0,0,5,0,0,0,1,0,2,4,14,2,7,3,1.6,3
1,qid:1589,0,0,1,1,0,3,0,0,0,0,7,13,1,4,2,1.3,2
1,qid:1590,1,0,0,0,2,1,0,0,0,3,2,11,2,4,2,1.5,2
0,qid:1590,0,0,0,1,1,3,0,0,0,1,9,18,3,6,1,1.7,3
1,qid:1591,0,0,1,1,0,3,0,0,0,0,5,11,1,3,1,2,3
0,qid:1591,0,0,0,1,0,4,0,0,0,0,6,12,1,6,1,2.5,4
0,qid:1592,0,0,0,1,0,2,0,0,0,0,3,7,1,2,2,1,1
1,qid:1592,0,0,0,1,1,1,0,0,0,0,5,10,2,4,2,1.8,2
0,qid:1593,0,1,1,0,1,8,0,0,0,1,6,20,2,10,3,2.4,3
1,qid:1593,0,0,0,1,0,4,0,0,0,0,4,10,1,5,1,2.2,3
0,qid:1594,2,1,0,0,0,2,0,0,0,1,3,10,1,3,3,1.3,2
1,qid:1594,0,0,0,0,0,3,0,0,0,1,2,7,1,2,0,1.5,2
1,qid:1595,0,0,0,0,1,1,0,0,0,0,3,6,1,2,0,1,1
0,qid:1595,1,0,0,0,0,3,0,1,1,0,5,12,1,5,1,1.4,2
1,qid:1596,0,0,1,0,0,4,0,0,0,1,6,13,1,6,3,1.5,3
0,qid:1596,0,1,0,1,1,6,0,0,0,1,5,15,0,8,3,1.9,3
1,qid:1597,0,0,0,0,1,1,0,0,0,0,2,6,2,2,1,1.5,2
0,qid:1597,1,0,0,0,1,3,0,0,0,0,4,10,1,3,1,1.3,2
1,qid:1598,0,0,0,0,1,3,0,0,0,0,2,7,1,4,1,2.3,3
0,qid:1598,1,0,1,0,2,3,0,1,0,0,5,21,2,7,1,1.9,2
1,qid:1599,1,0,0,1,1,2,0,0,0,0,5,11,1,4,2,1.8,3
0,qid:1599,1,0,0,3,0,1,0,0,0,0,5,10,0,4,1,1.8,3
0,qid:1600,0,0,0,0,0,3,0,0,0,0,3,8,1,3,1,1.7,2
1,qid:1600,0,0,0,0,0,5,0,0,0,0,4,13,1,4,1,1.5,2
1,qid:1601,0,0,1,0,1,4,0,0,0,0,7,15,2,8,2,2.1,2
0,qid:1601,0,1,0,1,1,5,0,0,0,1,11,25,3,10,3,1.9,2
0,qid:1602,2,0,0,0,0,2,0,0,0,1,4,10,1,4,1,1.8,3
1,qid:1602,0,0,0,0,1,1,0,0,0,0,1,5,2,3,1,1.3,2
1,qid:1603,0,1,0,0,1,4,0,0,0,0,5,12,1,6,2,2.2,3
0,qid:1603,0,0,0,0,1,8,0,0,0,0,10,23,4,11,1,2.3,3
0,qid:1604,0,0,0,1,0,6,0,0,0,1,6,17,3,6,2,2.3,3
1,qid:1604,0,0,0,0,0,3,0,0,0,0,4,8,1,3,2,1.7,2
1,qid:1605,0,0,0,2,0,1,0,0,0,0,4,9,2,3,2,1.7,2
0,qid:1605,1,1,0,0,0,0,0,0,0,0,3,7,2,3,0,2,3
0,qid:1606,0,0,0,1,1,3,1,0,0,0,5,12,1,5,2,1.6,3
1,qid:1606,0,0,0,0,1,4,0,0,0,0,3,9,1,4,1,1.5,2
1,qid:1607,0,0,0,1,0,0,0,0,0,0,4,8,3,3,1,1.7,2
0,qid:1607,0,0,0,0,2,4,0,0,0,0,4,11,1,4,1,1.8,3
0,qid:1608,0,0,0,0,1,1,0,0,0,2,2,7,1,2,1,1,1
1,qid:1608,0,0,0,0,0,3,0,0,0,0,5,9,1,3,1,2,3
0,qid:1609,0,0,0,1,0,1,0,0,0,0,4,9,3,4,1,1.8,3
1,qid:1609,0,0,0,0,0,5,0,0,0,0,4,10,1,5,1,2,3
1,qid:1610,0,0,0,1,0,2,0,0,0,1,2,6,0,2,1,1.5,2
0,qid:1610,0,0,1,0,2,4,0,1,0,1,6,16,1,5,1,2.4,3
0,qid:1611,1,0,0,0,1,3,0,0,0,0,5,11,1,4,1,1.5,2
1,qid:1611,0,0,0,0,1,3,0,0,0,0,5,12,2,5,2,1.4,2
0,qid:1612,0,0,1,0,0,0,0,0,0,0,5,10,2,3,1,1.7,2
1,qid:1612,0,0,0,0,0,2,0,0,0,0,3,7,2,3,0,1.7,2
0,qid:1613,0,0,1,1,0,2,0,0,0,0,5,11,2,4,1,2,3
1,qid:1613,1,0,0,1,0,2,0,0,0,0,3,8,1,3,1,1.7,2
1,qid:1614,0,0,0,0,0,4,0,0,0,1,4,11,2,4,1,1.8,3
0,qid:1614,1,0,0,0,1,0,0,1,1,0,1,6,1,2,1,1.5,2
0,qid:1615,0,1,0,0,1,6,0,0,0,0,7,18,2,7,2,2,2
1,qid:1615,0,0,0,0,1,1,0,0,0,1,4,9,2,3,1,1.7,2
0,qid:1616,0,0,0,1,0,2,0,0,0,1,4,10,2,3,0,1.7,2
1,qid:1616,0,0,0,0,0,2,0,0,0,1,3,7,1,2,1,1.5,2
0,qid:1617,0,0,0,3,0,1,0,1,0,0,4,9,0,4,0,1.8,2
1,qid:1617,0,0,0,0,0,1,0,0,0,0,3,7,3,2,0,1.5,2
0,qid:1618,1,0,1,1,1,2,0,0,0,0,2,8,0,3,1,1.7,2
1,qid:1618,0,0,0,0,1,2,0,1,0,0,3,8,1,3,1,1.3,2
0,qid:1619,0,0,0,0,3,2,0,0,0,0,5,11,1,5,1,2,3
1,qid:1619,0,0,0,0,0,1,0,0,0,1,1,4,1,1,1,1,1
0,qid:1620,0,0,0,0,0,3,0,0,0,2,2,8,0,4,1,2.3,3
1,qid:1620,0,0,0,0,0,4,0,0,0,0,4,10,2,4,1,2.5,4
0,qid:1621,0,2,1,0,0,1,0,0,0,1,6,13,2,4,0,1.8,3
1,qid:1621,0,0,0,0,2,4,0,0,0,2,3,11,0,4,2,1.3,2
1,qid:1622,0,0,0,0,0,3,0,0,0,0,4,8,1,3,1,2,3
0,qid:1622,0,0,0,1,1,1,0,0,0,0,4,8,1,1,1,1,1
0,qid:1623,1,0,1,0,2,2,0,0,0,1,5,14,2,6,2,1.5,2
1,qid:1623,0,0,1,0,0,1,0,0,0,0,2,6,2,2,1,1.5,2
